Rank,Major_code,Major,Major_category,Total,Men,Women,Employed,Full_time,Part_time,Full_time_year_round,Unemployed,Unemployment_rate,Median,P25th,P75th
1,2419,PETROLEUM ENGINEERING,Engineering,2339,2057,282,1976,1849,270,1207,37,0.018380527,110000,95000,125000
2,2416,MINING AND MINERAL ENGINEERING,Engineering,756,679,77,640,556,170,388,85,0.117241379,75000,55000,90000
3,2415,METALLURGICAL ENGINEERING,Engineering,856,725,131,648,558,133,340,16,0.024096386,73000,50000,105000
4,2417,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering,1258,1123,135,758,1069,150,692,40,0.050125313,70000,43000,80000
5,2405,CHEMICAL ENGINEERING,Engineering,32260,21239,11021,25694,23170,5180,16697,1672,0.061097712,65000,50000,75000
6,2418,NUCLEAR ENGINEERING,Engineering,2573,2200,373,1857,2038,264,1449,400,0.177226407,65000,50000,102000
7,6202,ACTUARIAL SCIENCE,Business,3777,832,960,2912,2924,296,2482,308,0.095652174,62000,53000,72000
8,5001,ASTRONOMY AND ASTROPHYSICS,Physical Sciences,1792,2110,1667,1526,1085,553,827,33,0.021167415,62000,31500,109000
9,2414,MECHANICAL ENGINEERING,Engineering,91227,12953,2105,76442,71298,13101,54639,4650,0.057342278,60000,48000,70000
10,2408,ELECTRICAL ENGINEERING,Engineering,81527,8407,6548,61928,55450,12695,41413,3895,0.059173845,60000,45000,72000
11,2407,COMPUTER ENGINEERING,Engineering,41542,33258,8284,32506,30315,5146,23621,2275,0.065409275,60000,45000,75000
12,2401,AEROSPACE ENGINEERING,Engineering,15058,65511,16016,11391,11106,2724,8790,794,0.065162085,60000,42000,70000
13,2404,BIOMEDICAL ENGINEERING,Engineering,14955,80320,10907,10047,9017,2694,5986,1019,0.09208386,60000,36000,70000
14,5008,MATERIALS SCIENCE,Engineering,4279,2949,1330,3307,2751,878,1967,78,0.023042836,60000,39000,65000
15,2409,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering,4321,3526,795,3608,2999,811,2004,23,0.006334343,58000,25000,74000
16,2402,BIOLOGICAL ENGINEERING,Engineering,8925,6062,2863,6170,5455,1983,3413,589,0.087143069,57100,40000,76000
17,2412,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering,18968,12453,6515,15604,14879,2243,11326,699,0.042875544,57000,37900,67000
18,2400,GENERAL ENGINEERING,Engineering,61152,45683,15469,44931,41235,7199,33540,2859,0.059824231,56000,36000,69000
19,2403,ARCHITECTURAL ENGINEERING,Engineering,2825,1835,990,2575,2277,343,1848,170,0.061930783,54000,38000,65000
20,3201,COURT REPORTING,Law & Public Policy,1148,877,271,930,808,223,808,11,0.011689692,54000,50000,54000
21,2102,COMPUTER SCIENCE,Computers & Mathematics,128319,1837,2524,102087,91485,18726,70932,6884,0.063172771,53000,39000,70000
22,1104,FOOD SCIENCE,Agriculture & Natural Resources,4361,99743,28576,3149,2558,1121,1735,338,0.09693146,53000,32000,70000
23,2502,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering,11565,2020,973,8587,7530,1873,5681,824,0.087557114,52000,35000,60000
24,2413,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering,2993,8181,3384,2449,1658,1040,1151,70,0.027788805,52000,35000,62000
25,6212,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business,18713,13496,5217,16413,15141,2420,13017,1015,0.058239614,51000,38000,60000
26,2406,CIVIL ENGINEERING,Engineering,53153,41081,12072,43041,38302,10080,29196,3270,0.070609574,50000,40000,60000
27,5601,CONSTRUCTION SERVICES,Industrial Arts & Consumer Services,18498,2662,1385,16318,15690,1751,12313,1042,0.060023041,50000,36000,60000
28,6204,OPERATIONS LOGISTICS AND E-COMMERCE,Business,11732,488,232,10027,9639,1183,7724,504,0.047858703,50000,40000,60000
29,2499,MISCELLANEOUS ENGINEERING,Engineering,9133,7398,1735,7428,6811,1662,5476,597,0.074392523,50000,39000,65000
30,5402,PUBLIC POLICY,Law & Public Policy,5978,2695,905,4547,4163,1306,2776,670,0.128426299,50000,35000,70000
31,2410,ENVIRONMENTAL ENGINEERING,Engineering,4047,2639,3339,2983,2384,930,1951,308,0.093588575,50000,42000,56000
32,2500,ENGINEERING TECHNOLOGIES,Engineering,3600,16820,1678,2799,2257,689,1723,163,0.055030385,50000,43000,60000
33,6099,MISCELLANEOUS FINE ARTS,Arts,3340,1970,1370,2914,2049,1067,1200,286,0.089375,50000,25000,66000
34,2411,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering,720,7921,3811,604,524,126,396,49,0.075038285,50000,42800,57000
35,6107,NURSING,Health,209394,21773,187621,180903,151191,40818,122817,8497,0.044862724,48000,39000,58000
36,6207,FINANCE,Business,174506,89749,49498,145696,137921,21463,108595,9413,0.060686356,47000,35000,64000
37,5501,ECONOMICS,Social Science,139247,115030,59476,104117,96567,25325,70740,11452,0.099092317,47000,35000,65000
38,6205,BUSINESS ECONOMICS,Business,13302,3477,1154,10914,10048,1937,8000,1165,0.096448381,46000,33000,58000
39,2503,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering,4631,528,1588,4428,3988,597,3242,129,0.028308097,46000,35000,65000
40,5102,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",Physical Sciences,2116,7575,5727,1778,1392,579,1115,137,0.07154047,46000,38000,53000
41,6201,ACCOUNTING,Business,198633,27392,9306,165527,151967,27693,123169,12411,0.069749014,45000,34000,56000
42,3700,MATHEMATICS,Computers & Mathematics,72397,9005,2908,58118,46399,18079,33738,2884,0.047277138,45000,33000,60000
43,2100,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics,36698,515,1247,28459,26348,4332,21130,2934,0.093460326,45000,30000,60000
44,5007,PHYSICS,Physical Sciences,32142,39956,32441,25302,19428,8721,14389,1282,0.048224496,45000,30000,68000
45,6105,MEDICAL TECHNOLOGIES TECHNICIANS,Health,15914,2794,2145,13150,11510,2665,9005,505,0.03698279,45000,36000,50000
46,2105,INFORMATION SCIENCES,Computers & Mathematics,11913,2960,3291,9881,9105,1468,7378,639,0.060741445,45000,32500,58000
47,3702,STATISTICS AND DECISION SCIENCE,Computers & Mathematics,6251,23080,9062,4247,3190,1840,2151,401,0.086273666,45000,26700,60000
48,3701,APPLIED MATHEMATICS,Computers & Mathematics,4939,3916,11998,3854,3465,1176,2593,385,0.090823307,45000,34000,63000
49,3607,PHARMACOLOGY,Biology & Life Science,1762,94519,104114,1144,657,532,565,107,0.085531575,45000,40000,45000
50,5006,OCEANOGRAPHY,Physical Sciences,2418,752,1666,1638,1931,379,1595,99,0.056994819,44700,23000,50000
51,2501,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering,2906,2400,506,2125,1992,462,1358,74,0.03365166,44000,30000,50000
52,6104,MEDICAL ASSISTING SERVICES,Health,11123,500,109,9168,5643,4107,4290,407,0.042506527,42000,30000,65000
53,4005,MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics,609,803,10320,559,584,0,391,0,0,42000,30000,78000
54,2101,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics,4168,3046,1122,3257,3204,482,2453,419,0.11398259,41300,20000,46000
55,4006,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science,3831,119,699,2741,2470,711,1584,223,0.075236167,41000,20000,60000
56,2303,SCHOOL STUDENT COUNSELING,Education,818,1667,2164,730,595,135,545,88,0.107579462,41000,41000,43000
57,5505,INTERNATIONAL RELATIONS,Social Science,28187,10345,17842,21190,18681,5563,13583,2271,0.096798943,40100,31200,53000
58,6200,GENERAL BUSINESS,Business,234590,6053,4346,190183,171385,36241,138299,14946,0.072861468,40000,30000,55000
59,1401,ARCHITECTURE,Engineering,46420,9658,4582,34158,29223,10206,20026,4366,0.113331949,40000,31000,50000
60,6210,INTERNATIONAL BUSINESS,Business,25894,1749,690,19660,17563,4890,12823,2092,0.096175064,40000,30000,50000
